epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1947.92,0.88117,1.71398,0.9465,1.18063,0.67458,0.43592,0.49352,0.33432,0.66617,0.42792,0.48916,0.32607,1.25938,2.27862,1.57447,1.33284,0.0014258,0.0014258,0.0014258
31,2015.33,0.90436,1.72453,0.95276,1.19478,0.74005,0.46465,0.54473,0.38251,0.74005,0.46465,0.54177,0.37199,1.18528,2.20193,1.35497,1.28853,0.001406,0.001406,0.001406
32,2083.58,0.90842,1.71185,0.95511,1.19494,0.76554,0.46556,0.54036,0.37835,0.76744,0.46189,0.53875,0.3729,1.18006,2.16329,1.35986,1.27775,0.0013862,0.0013862,0.0013862
33,2148.9,0.8776,1.69459,0.94128,1.17783,0.69668,0.46611,0.52404,0.37749,0.69666,0.4674,0.5256,0.35531,1.16213,2.18633,1.35218,1.26846,0.0013664,0.0013664,0.0013664
34,2224.32,0.889,1.69298,0.92196,1.18211,0.75696,0.47658,0.55205,0.38879,0.76628,0.47934,0.54763,0.3738,1.1726,2.16185,1.29743,1.30032,0.0013466,0.0013466,0.0013466
35,2293.99,0.86593,1.67947,0.90777,1.17418,0.64136,0.48772,0.50657,0.35596,0.62607,0.49967,0.5046,0.34496,1.18002,2.18273,1.52068,1.27978,0.0013268,0.0013268,0.0013268
36,2361.5,0.86681,1.66717,0.91004,1.16814,0.75339,0.47475,0.55654,0.3934,0.73757,0.47383,0.5449,0.3756,1.15032,2.20414,1.29236,1.26858,0.001307,0.001307,0.001307
37,2431.56,0.86665,1.68134,0.91109,1.16329,0.63792,0.48212,0.49564,0.35527,0.62723,0.48826,0.48996,0.34428,1.16896,2.14021,1.56133,1.27851,0.0012872,0.0012872,0.0012872
38,2497.6,0.86538,1.66637,0.90964,1.15834,0.75342,0.46924,0.55898,0.38104,0.74566,0.47016,0.55139,0.37116,1.21692,2.20478,1.3471,1.31996,0.0012674,0.0012674,0.0012674
39,2562.83,0.85969,1.63543,0.88489,1.15827,0.71456,0.4674,0.54367,0.38864,0.71281,0.47178,0.53882,0.37187,1.13542,2.13486,1.33335,1.25661,0.0012476,0.0012476,0.0012476
40,2628.35,0.83863,1.62019,0.86438,1.14715,0.76633,0.4876,0.55732,0.40148,0.77102,0.48669,0.55632,0.38314,1.14457,2.12926,1.339,1.24774,0.0012278,0.0012278,0.0012278
41,2693.27,0.83926,1.61189,0.8786,1.1425,0.72742,0.48209,0.54609,0.38995,0.72645,0.48485,0.54398,0.37161,1.15391,2.13775,1.47112,1.28152,0.001208,0.001208,0.001208
42,2759.53,0.84024,1.60569,0.87046,1.14516,0.72025,0.47016,0.53876,0.39345,0.71884,0.46924,0.53292,0.3733,1.11768,2.1246,1.33663,1.23479,0.0011882,0.0011882,0.0011882
43,2825.08,0.82217,1.6067,0.85118,1.13765,0.80173,0.49679,0.57582,0.41067,0.78527,0.49403,0.56243,0.38693,1.12316,2.20475,1.31359,1.23572,0.0011684,0.0011684,0.0011684
44,2890.86,0.82889,1.61324,0.8458,1.13785,0.77498,0.48852,0.56701,0.40215,0.7508,0.49311,0.56682,0.38553,1.1643,2.08422,1.27532,1.2676,0.0011486,0.0011486,0.0011486
